-858993460, C:\Users\lab\Desktop\All_compressed\KillerTestSet_RGB_444_bpc=10_bpp=04.0000_csc_bypass=off
M, 0, 1, 0
bathroom8, 1, 500 1000, 0, 1, 11547
CrazyTown, 2, 0 0, 0, 1, 13443
Subway, 1, 2000 500, 1, 1, 15446
BigTree, 2, 0 0, 2, 1, 5323
brightercave, 1, 0 500, 0, 1, 6074

